Road User 1 - Movement,Date,Time,Safety Indicator Value (sec),Road User Arrived First,Road User 1 - Type,Road User 1 - Conflict Speed,Road User 1 - Median Speed,Road User 2 - Movement,Road User 2 - Type,Road User 2 - Conflict Speed,Road User 2 - Median Speed
Bicycles East Through,152,152,152,152,152,152,152,152,152,152,152
East Crosswalk,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904,6904
East Left Turn,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758,5758
East Right Turn,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038
East Through,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082
North Crosswalk,7898,7898,7898,7898,7898,7898,7898,7898,7898,7898,7898
North Left Turn,5211,5211,5211,5211,5211,5211,5211,5211,5211,5211,5211
North Right Turn,3063,3063,3063,3063,3063,3063,3063,3063,3063,3063,3063
North Through,18503,18503,18503,18503,18503,18503,18503,18503,18503,18503,18503
South Crosswalk,9376,9376,9376,9376,9376,9376,9376,9376,9376,9376,9376
South Left Turn,17070,17070,17070,17070,17070,17070,17070,17070,17070,17070,17070
South Right Turn,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136,3136
South Through,22430,22430,22430,22430,22430,22430,22430,22430,22430,22430,22430
West Crosswalk,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408,2408
West Left Turn,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665
West Right Turn,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916
West Through,3788,3788,3788,3788,3788,3788,3788,3788,3788,3788,3788
