Date,Time,Safety Indicator Value (sec),Road User Arrived First,Road User 1 - Movement,Road User 1 - Type,Road User 1 - Conflict Speed,Road User 1 - Median Speed,Road User 2 - Movement,Road User 2 - Type,Road User 2 - Conflict Speed,Road User 2 - Median Speed
10/1/19,686,686,686,686,686,686,686,686,686,686,686
3/18/20,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088
3/19/20,846,846,846,846,846,846,846,846,846,846,846
9/13/19,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382,2382
9/14/19,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586,1586
9/15/19,998,998,998,998,998,998,998,998,998,998,998
9/16/19,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435,2435
9/17/19,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223
9/18/19,2693,2693,2693,2693,2693,2693,2693,2693,2693,2693,2693
9/19/19,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038
9/20/19,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
9/21/19,918,918,918,918,918,918,918,918,918,918,918
9/22/19,601,601,601,601,601,601,601,601,601,601,601
9/23/19,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568,1568
9/24/19,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647,1647
9/25/19,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837,1837
9/26/19,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501
9/27/19,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616
9/28/19,866,866,866,866,866,866,866,866,866,866,866
9/29/19,650,650,650,650,650,650,650,650,650,650,650
9/30/19,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731,1731
